strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag,matfile
1,9,8004,4,3,8.5,1,20.645,1,../../simdata-nr=3/alpha_t/TotalDist/00009/8004/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,1418,1,3,12,1,236.77,0,../../simdata-nr=3/alpha_t/TotalDist/00010/1418/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,1418,2,0,85,0,79.532,0,../../simdata-nr=3/alpha_t/TotalDist/00010/1418/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,1418,3,0,280.5,0,275.09,0,../../simdata-nr=3/alpha_t/TotalDist/00010/1418/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,1418,4,2,6.5,1,67.384,0,../../simdata-nr=3/alpha_t/TotalDist/00010/1418/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,4105,1,2,258.5,1,275.99,1,../../simdata-nr=3/alpha_t/TotalDist/00010/4105/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,4105,2,0,59.5,0,55.966,1,../../simdata-nr=3/alpha_t/TotalDist/00010/4105/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,4105,3,2,31,1,48.229,1,../../simdata-nr=3/alpha_t/TotalDist/00010/4105/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,4105,4,0,167,0,12.582,1,../../simdata-nr=3/alpha_t/TotalDist/00010/4105/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,7667,1,2,13,1,205.14,0,../../simdata-nr=3/alpha_t/TotalDist/00010/7667/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,7667,2,0,67,0,61.519,0,../../simdata-nr=3/alpha_t/TotalDist/00010/7667/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,7667,3,0,148,0,142.57,0,../../simdata-nr=3/alpha_t/TotalDist/00010/7667/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,10,7667,4,2,7.5,1,40.524,0,../../simdata-nr=3/alpha_t/TotalDist/00010/7667/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,3472,1,2,17,1,144.01,0,../../simdata-nr=3/alpha_t/TotalDist/00011/3472/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,3472,2,0,41,0,47.274,0,../../simdata-nr=3/alpha_t/TotalDist/00011/3472/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,3472,3,0,103,0,113.31,0,../../simdata-nr=3/alpha_t/TotalDist/00011/3472/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,3472,4,0,59.5,0,48.932,0,../../simdata-nr=3/alpha_t/TotalDist/00011/3472/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,4105,1,3,157.5,1,275.99,1,../../simdata-nr=3/alpha_t/TotalDist/00011/4105/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,4105,2,0,59.5,0,55.966,1,../../simdata-nr=3/alpha_t/TotalDist/00011/4105/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,4105,3,2,14,1,48.229,1,../../simdata-nr=3/alpha_t/TotalDist/00011/4105/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,4105,4,0,167,0,12.582,1,../../simdata-nr=3/alpha_t/TotalDist/00011/4105/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,7042,1,3,39.5,1,199.98,0,../../simdata-nr=3/alpha_t/TotalDist/00011/7042/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,7042,2,0,165.5,0,160.44,0,../../simdata-nr=3/alpha_t/TotalDist/00011/7042/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,7042,3,0,114,0,108.78,0,../../simdata-nr=3/alpha_t/TotalDist/00011/7042/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,11,7042,4,0,67,0,55.058,0,../../simdata-nr=3/alpha_t/TotalDist/00011/7042/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,1870,1,2,39,1,223.74,1,../../simdata-nr=3/alpha_t/TotalDist/00012/1870/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,1870,2,0,68.5,0,63.257,1,../../simdata-nr=3/alpha_t/TotalDist/00012/1870/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,1870,3,0,147,0,154.28,1,../../simdata-nr=3/alpha_t/TotalDist/00012/1870/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,1870,4,0,180,0,16.458,1,../../simdata-nr=3/alpha_t/TotalDist/00012/1870/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,7042,1,2,32.5,1,199.98,0,../../simdata-nr=3/alpha_t/TotalDist/00012/7042/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,7042,2,2,88,1,160.44,0,../../simdata-nr=3/alpha_t/TotalDist/00012/7042/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,7042,3,0,114,0,108.78,0,../../simdata-nr=3/alpha_t/TotalDist/00012/7042/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,7042,4,0,67,0,55.058,0,../../simdata-nr=3/alpha_t/TotalDist/00012/7042/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,8414,1,3,42,1,199.13,1,../../simdata-nr=3/alpha_t/TotalDist/00012/8414/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,8414,2,0,37.5,0,32.526,1,../../simdata-nr=3/alpha_t/TotalDist/00012/8414/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,8414,3,3,42.5,1,65.974,1,../../simdata-nr=3/alpha_t/TotalDist/00012/8414/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,12,8414,4,0,130.5,2,12.906,1,../../simdata-nr=3/alpha_t/TotalDist/00012/8414/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,5754,1,3,46,1,108.89,0,../../simdata-nr=3/alpha_t/TotalDist/00013/5754/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,5754,2,0,36,0,30.516,0,../../simdata-nr=3/alpha_t/TotalDist/00013/5754/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,5754,3,0,68.5,0,63.153,0,../../simdata-nr=3/alpha_t/TotalDist/00013/5754/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,5754,4,0,44,0,33.394,0,../../simdata-nr=3/alpha_t/TotalDist/00013/5754/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,6400,1,2,52,1,173.4,0,../../simdata-nr=3/alpha_t/TotalDist/00013/6400/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,6400,2,0,57,0,89.609,0,../../simdata-nr=3/alpha_t/TotalDist/00013/6400/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,6400,3,0,177,0,171.83,0,../../simdata-nr=3/alpha_t/TotalDist/00013/6400/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,6400,4,2,8.5,1,46.471,0,../../simdata-nr=3/alpha_t/TotalDist/00013/6400/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,13,7623,1,3,14,1,268.79,1,../../simdata-nr=3/alpha_t/TotalDist/00013/7623/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
