strategy,run,pid,condition,succesfulrobot,timesec,succcess,expTime
1,36,3472,2,0,41,0,47.274
1,36,3472,3,0,103,0,113.31
1,36,3472,4,3,18,1,48.932
1,36,6400,1,2,29.5,1,152.180616740088
1,36,6400,2,0,57,0,89.609
1,36,6400,3,2,28.5,1,171.83
1,36,6400,4,2,24.5,1,46.471
1,37,1600,1,0,168.5,0,143.237885462555
1,37,1600,2,3,20.5,1,45.193
1,37,1600,3,2,15.5,1,49.757
1,37,1600,4,0,33.5,0,24.596
1,37,7042,1,3,33.5,1,175.599118942731
1,37,7042,2,0,165.5,0,160.44
1,37,7042,3,0,114,0,108.78
1,37,7042,4,3,7.5,1,55.058
1,37,8521,1,0,237,0,203.590308370044
1,37,8521,2,3,17,1,153.7
1,37,8521,3,0,117,0,111.83
1,37,8521,4,2,8.5,1,83.497
1,38,3472,1,0,149.5,0,126.286343612335
1,38,3472,2,0,41,0,47.274
1,38,3472,3,0,103,0,113.31
1,38,3472,4,0,59.5,0,48.932
1,38,6400,1,2,29.5,1,152.180616740088
1,38,6400,2,0,57,0,89.609
1,38,6400,3,3,14.5,1,171.83
1,38,6400,4,0,58,0,46.471
1,38,7042,1,3,42,1,175.599118942731
1,38,7042,2,0,165.5,0,160.44
1,38,7042,3,0,114,0,108.78
1,38,7042,4,3,9,1,55.058
1,39,3472,1,3,13,1,126.286343612335
1,39,3472,2,0,41,0,47.274
1,39,3472,3,0,103,0,113.31
1,39,3472,4,3,11,1,48.932
1,39,4399,1,3,20,1,188.136563876652
1,39,4399,2,0,51.5,0,46.374
1,39,4399,3,0,55,0,49.501
1,39,4399,4,0,188,0,25.826
1,39,6605,1,2,80,1,137.352422907489
1,39,6605,2,0,49,0,45.881
1,39,6605,3,0,48.5,0,68.863
1,39,6605,4,0,169,0,160.76
1,40,5834,1,3,9.5,1,168.136563876652
1,40,5834,2,0,69,0,63.765
1,40,5834,3,2,30,1,83.388
1,40,5834,4,0,157.5,0,47.019
1,40,6801,1,3,21.5,1,139
1,40,6801,2,0,45,0,40.664
1,40,6801,3,3,14.5,1,61.086
1,40,6801,4,2,84,1,128.55
1,40,7194,1,0,115.5,0,97.9162995594714
1,40,7194,2,2,49.5,1,52.19
1,40,7194,3,0,76,0,70.545
1,40,7194,4,0,45.5,0,35.919
1,41,2276,1,0,180.5,0,153.845814977974
1,41,2276,2,0,43.5,0,52.36
1,41,2276,3,0,76,0,70.952
1,41,2276,4,3,16.5,1,16.267
1,41,3088,1,2,70.5,1,159.149779735683
1,41,3088,2,0,30,0,31.37
1,41,3088,3,3,10.5,1,153.38
1,41,3088,4,0,102.5,0,7.412
1,41,7667,1,2,27,1,180.145374449339
1,41,7667,2,3,20,1,61.519
1,41,7667,3,0,148,0,142.57
1,41,7667,4,0,50.5,0,40.524
1,42,1418,1,2,81.5,1,208.013215859031
1,42,1418,2,0,85,0,79.532
1,42,1418,3,2,145,1,275.09
1,42,1418,4,0,81,0,67.384
1,42,4105,1,2,45,1,242.568281938326
1,42,4105,2,0,59.5,0,55.966
1,42,4105,3,0,52,0,48.229
1,42,4105,4,3,41,1,12.582
1,42,7623,1,3,15,1,236.224669603524
1,42,7623,2,2,19.5,1,64.163
